Country,EA,EAM,EAF,AFF,ANE,AME,CY,SA,CP,LA,LCP,ARL,AGL
Aruba,24.12561716,25.0602012,22.96248497,10.50301984,13471.23596,20695.5618,3656.505885,180,17824090.07,180,4600273.024,2000,20
Afghanistan,43.13000107,37.25999832,65.76999664,22.04289675,4300,10450,2164.9,652860,4140568,652860,1912634,7703000,379190
Albania,37.29000092,33.72000122,42.27999878,18.44093062,960,2010,4840.5,28750,678196,27400,140110,611346,11740.81
Andorra,24.12561716,25.0602012,22.96248497,10.50301984,0,0,3656.505885,470,17824090.07,470,4600273.024,830,188.3
Armenia,25.78000069,23.39999962,28.64999962,13.94231166,1070,680,2623.6,29740,334342,28470,127436,445600,16773
Austria,3.690000057,4.050000191,3.279999971,1.13438306,2590,4820,6160,83879,4813238,82520,781374,1327150,26528.3
Azerbaijan,36.25999832,30.90999985,41.97999954,5.212380762,3480,3930,3013.7,86600,3181818,82654,1055769,2097900,47795
Belgium,0.99000001,1.299999952,0.639999986,0.565349487,3310,6090,8154,30530,2483008,30280,304515,850000,13540
Benin,39.08000183,47.25,30.62999916,28.08726564,2520,3060,1432.4,114760,2315556,112760,1616613,2800000,39500
Burkina Faso,27.07999992,30.78000069,22.52000046,23.06949979,9190,13820,1107.9,274220,4991259,273600,4505001,6000000,121000
Bulgaria,6.579999924,8.600000381,4.239999771,3.370009597,3480,1780,5463.8,111000,9931999,108560,1817781,3478000,50300
Bahrain,0.970000029,1.200000048,0.039999999,0.289107982,30,20,3656.505885,780,17824090.07,780,4600273.024,1600,86
Bahamas,2.25999999,3.99000001,0.360000014,0.678078037,20,10,8722.3,13880,742,10010,85,8000,140
Bosnia and Herzegovina,15.72999954,15.52000046,16.05999947,5.885436755,1080,1480,5487.9,51210,1743762,51200,317749,1029000,22110
Belarus,11.31000042,14.89000034,7.690000057,6.590107726,11190,9270,2724.8,207600,5813869,202980,2133721,5712000,84530
Belize,17.01000023,24.22999954,4.900000095,9.557799657,190,190,4043.7,22970,99341,22810,24567,90000,1720
Bermuda,24.12561716,25.0602012,22.96248497,0.23503913,13471.23596,20695.5618,3656.505885,4290,17824090.07,54,4600273.024,300,3
Bolivia,31.05999947,31.04000092,31.09000015,11.48192415,8370,18880,2333.7,1098580,3267425,1083300,1400133,4480000,377270
Barbados,2.700000048,3.74000001,1.629999995,10.50301984,30,20,2912.3,430,109,430,38,7000,100
Bhutan,56.11999893,50.49000168,64.37999725,15.99124824,110,420,3466.9,38390,194612,38140,56134,94000,5130
Botswana,20.37000084,24.38999939,15.77999973,1.993178394,2420,2720,377.4,581730,36284,566730,96151,259600,258616
Central African Republic,70.30000305,67.79000092,73.29000092,31.24133151,8630,9890,945.1,622980,137904,622980,145922,1800000,50800
Switzerland,3.029999971,3.440000057,2.559999943,0.635024356,1660,3880,6203.7,41290.39,882055,39516.03,142182,398138.9,15100.756
Chile,9.220000267,12.11999989,5.190000057,3.545663582,5180,5470,7145.2,756700,3661435,743532,512436,1213000,156930
Cote dIvoire,41.00999832,47.40999985,31.95000076,20.54857036,2840,3120,2278,322460,3266110,318000,1433734,3500000,212000
Cameroon,44.16999817,40.25,48.61999893,14.42310618,5570,7160,1646,475440,4198483,472710,2550780,6200000,97500
"Congo, Rep.",33.74000168,34.86999893,32.54000092,6.895347811,1910,1510,830.1,342000,29886,341500,36002,550000,106280
Colombia,16.70999908,23.06999969,7.809999943,6.22570969,19030,43990,4534.6,1141750,4757682,1109500,1049195,6021000,494920
